location,age,population
24,0,69926
24,1,71658
24,2,72309
24,3,73738
24,4,74306
24,5,73246
24,6,73366
24,7,74072
24,8,75067
24,9,74804
24,10,73727
24,11,76574
24,12,76406
24,13,75370
24,14,75237
24,15,75230
24,16,74773
24,17,74878
24,18,78815
24,19,76219
24,20,74171
24,21,73700
24,22,72874
24,23,73604
24,24,76766
24,25,78483
24,26,81126
24,27,81877
24,28,84256
24,29,86402
24,30,83597
24,31,83356
24,32,83263
24,33,83217
24,34,83672
24,35,81643
24,36,82334
24,37,82113
24,38,81828
24,39,82610
24,40,76978
24,41,74926
24,42,74326
24,43,71912
24,44,73543
24,45,70525
24,46,72601
24,47,77094
24,48,81970
24,49,83584
24,50,80112
24,51,79955
24,52,80341
24,53,82443
24,54,86842
24,55,88216
24,56,86816
24,57,85611
24,58,85741
24,59,85304
24,60,82389
24,61,80049
24,62,78060
24,63,73914
24,64,72419
24,65,68109
24,66,65595
24,67,61523
24,68,59935
24,69,57359
24,70,55715
24,71,54976
24,72,56581
24,73,41308
24,74,40481
24,75,38574
24,76,39420
24,77,33969
24,78,30238
24,79,27751
24,80,25654
24,81,23889
24,82,21199
24,83,19574
24,84,18153
24,85,119393
25,0,70791
25,1,70819
25,2,71300
25,3,71913
25,4,72539
25,5,72797
25,6,73268
25,7,73611
25,8,74839
25,9,73935
25,10,73749
25,11,76197
25,12,77005
25,13,77354
25,14,78280
25,15,80675
25,16,81506
25,17,82222
25,18,97816
25,19,107615
25,20,102592
25,21,98606
25,22,94852
25,23,92866
25,24,96374
25,25,99135
25,26,100800
25,27,101116
25,28,100927
25,29,102528
25,30,100545
25,31,99594
25,32,98048
25,33,96398
25,34,95363
25,35,90620
25,36,90693
25,37,89258
25,38,86651
25,39,87579
25,40,83429
25,41,81618
25,42,79648
25,43,78283
25,44,80594
25,45,78971
25,46,80813
25,47,85019
25,48,90691
25,49,93562
25,50,90298
25,51,90374
25,52,91538
25,53,93810
25,54,98557
25,55,99382
25,56,98490
25,57,97343
25,58,98002
25,59,97744
25,60,94559
25,61,93677
25,62,91077
25,63,87174
25,64,85742
25,65,81495
25,66,77937
25,67,74104
25,68,71292
25,69,68900
25,70,67124
25,71,66090
25,72,68638
25,73,49455
25,74,48270
25,75,46461
25,76,47435
25,77,40183
25,78,35310
25,79,32614
25,80,30565
25,81,28934
25,82,26588
25,83,25006
25,84,23408
25,85,159523
26,0,109018
26,1,110855
26,2,113925
26,3,115735
26,4,116909
26,5,117356
26,6,116303
26,7,116857
26,8,117405
26,9,118404
26,10,117938
26,11,121150
26,12,123257
26,13,123542
26,14,124477
26,15,126809
26,16,126571
26,17,127422
26,18,132978
26,19,130779
26,20,133397
26,21,137174
26,22,137153
26,23,136934
26,24,137108
26,25,136931
26,26,137026
26,27,139338
26,28,143929
26,29,140587
26,30,128880
26,31,123774
26,32,119018
26,33,120582
26,34,121549
26,35,117167
26,36,119570
26,37,120336
26,38,120002
26,39,122253
26,40,116741
26,41,114608
26,42,112826
26,43,109581
26,44,113088
26,45,111496
26,46,114655
26,47,122216
26,48,131446
26,49,132718
26,50,126242
26,51,124753
26,52,126592
26,53,128923
26,54,135638
26,55,140090
26,56,140459
26,57,141041
26,58,143097
26,59,143464
26,60,141059
26,61,142403
26,62,140824
26,63,134780
26,64,132318
26,65,126940
26,66,121078
26,67,117131
26,68,112450
26,69,106780
26,70,103194
26,71,100426
26,72,103752
26,73,73965
26,74,71864
26,75,70803
26,76,73477
26,77,63216
26,78,55537
26,79,50576
26,80,46953
26,81,43844
26,82,39177
26,83,36936
26,84,34166
26,85,213136
27,0,67629
27,1,68358
27,2,70924
27,3,71994
27,4,72717
27,5,73198
27,6,72479
27,7,72218
27,8,72021
27,9,72930
27,10,72470
27,11,74606
27,12,74885
27,13,73855
27,14,73931
27,15,74482
